UniqueCount	AmbigCount
243	0
135	0
453	0
1001	2589
28	0
97	0
42	0
23	0
51	0
25	0
41	0
25	0
25	0
427	0
617	0
0	0
131	0
27	0
143	0
61	0
164	0
65	0
46	0
134	16
31	0
20	0
291	0
115	0
159	0
62	0
20	0
12	0
343	0
37	0
34	0
5115	0
97	0
81	0
91	0
105	0
38	0
122	0
22	0
21	0
64	0
290	0
175	0
241	0
109	0
25	0
417	0
25	0
34	0
558	0
374	0
65	0
25	92
0	0
35	0
77	0
68	0
104	0
51	0
0	1117
0	2
114	0
122	0
11	0
67	0
1	2
17	0
0	0
0	0
1	0
0	0
0	0
0	0
215	0
32	78
0	5
25	0
0	132
142	0
342	9
341	102
417	0
87	0
84	0
337	0
69	0
17	0
24	0
126	0
7	0
90	0
134	0
21	0
595	0
42	0
98	0
143	0
37	0
402	0
46	0
74	0
25	0
40	0
531	247
30	0
586	0
276	0
5	0
41	0
170	0
118	0
40	0
144	0
49	0
86	0
56	0
63	0
328	0
118	0
79	0
0	0
817	0
62	0
493	0
808	0
309	0
336	0
73	0
37	0
88	0
307	0
29	0
200	0
31	0
68	0
76	0
84	0
1098	0
221	0
263	0
39	0
9	0
216	746
35	0
376	0
413	0
172	0
305	0
45	0
43	15
64	0
160	7
144	0
122	0
134	149
333	0
67	0
88	0
349	0
589	0
88	0
201	0
65	0
66	0
1746	0
324	0
51	0
59	0
138	0
322	0
106	0
78	0
260	0
74	0
142	0
75	0
28	0
368	0
173	0
106	0
150	270
383	369
605	0
14	0
41	0
175	0
40	0
98	0
21	0
0	33
0	15
107	0
52	0
152	0
143	0
481	0
197	0
74	0
124	0
59	0
58	842
53	0
58	0
255	0
254	0
48	0
18	0
776	0
3	0
135	0
49	0
163	0
112	0
39	0
164	0
139	0
70	58
154	0
50	0
131	0
248	0
5703	0
101	0
303	0
62	0
143	0
361	0
45	0
40	0
46	0
105	0
116	0
29	0
110	0
84	0
1	17
38	0
44	0
284	0
98	0
208	0
29	0
46	0
595	0
120	0
210	0
200	0
286	0
29	0
92	0
3	0
331	0
35	0
41	0
47	92
11	0
12	14
44	22
77	0
65	0
49	0
203	0
161	0
197	0
65	0
105	0
48	0
208	0
371	0
47	0
62	0
193	0
61	0
390	0
91	32
117	0
346	0
89	0
0	8610
52	0
61	0
328	0
106	0
72	0
45	0
674	0
1084	0
68	0
89	0
40	0
43	0
116	0
109	0
20	0
204	0
114	0
71	0
655	0
1330	0
9	0
66	0
202	0
185	0
116	0
180	0
78	0
560	0
128	0
277	0
11	0
32	0
29	0
37	0
25	0
15	0
15	0
166	0
31	0
100	0
67	0
114	0
48	0
39	0
86	0
33	0
43	0
651	0
120	0
30	0
83	0
111	0
32	0
51	0
239	0
244	0
7	0
112	586
96	0
312	0
3	0
54	0
50	0
70	0
22	0
196	46
205	127
74	0
57	0
6	0
55	0
2221	0
18	0
104	0
295	0
82	0
31	0
81	0
542	0
57	0
81	0
94	0
1616	0
31	0
15	0
109	0
9	0
139	0
106	0
125	0
15	0
164	36
0	23
34	23
387	0
406	0
34	0
124	0
109	0
49	0
171	0
410	0
47	0
32	0
187	0
556	0
53	0
128	0
131	0
142	0
76	0
145	0
102	0
34	0
19	0
124	0
34	0
36	0
67	0
113	0
4	0
53	0
6	0
40	0
37	0
240	0
119	0
51	0
16	0
58	0
84	0
36	0
65	0
228	0
36	0
69	0
32	15
66	0
78	0
51	0
38	0
86	0
141	0
57	0
123	0
165	0
71	0
70	0
86	0
75	0
45	0
184	0
61	0
45	0
917	0
585	0
49	0
116	4
175	0
43	0
31	0
93	0
207	0
2	0
40	38
163	0
1	7
0	8
121	1696
88	0
110	0
56	0
36	0
16	0
42	0
36	0
163	0
150	0
46	0
359	0
745	0
0	10433
0	2626
90	0
158	0
8	0
86	0
27	0
212	0
53	0
69	0
132	0
201	0
277	0
57	0
31	0
295	0
80	0
836	40
46	40
332	0
23	0
220	0
31	0
12	0
115	0
184	0
109	0
224	0
56	0
22	0
58	0
174	0
65	66
122	0
73	0
9	0
241	0
4	1
32	72
0	18
1	42
0	8
1	0
89	0
46	0
105	0
274	0
26	0
336	0
198	0
7	0
727	0
15746	0
96	0
35	0
40	0
405	0
13	0
63	0
48	0
26	0
5793	0
181	0
42	0
406	0
170	0
39	0
71	0
141	0
430	110
359	0
449	0
20	0
94	0
120	0
182	0
50	18
249	0
33	0
66	0
32	0
48	0
77	0
25	14
0	14
22	0
18	0
123	0
61	0
66	0
15	0
6	0
76	0
8	0
65	0
37	0
79	0
68	0
173	0
25	0
22	0
121	0
40	0
59	0
142	0
99	0
96	0
117	0
71	0
15	0
103	0
76	0
24	0
118	0
82	0
594	0
35	0
78	0
0	72
66	0
105	0
19	0
9	0
8	0
52	20
0	5
11	0
65	0
49	41
47	0
81	0
270	0
30	0
45	0
56	0
139	0
111	3
2762	0
625	0
244	0
194	0
65	0
50	0
19	0
33	0
51	0
244	0
77	0
157	0
73	0
786	0
176	0
84	0
886	0
64	0
30	0
517	0
145	0
360	0
1007	33
15	0
55	1
77	0
50	0
523	0
12	0
150	0
90	0
122	0
43	0
135	0
79	0
6	0
5	11
152	0
247	0
157	0
73	0
136	40
199	0
44	0
4	0
231	0
2173	0
55	0
145	0
1457	0
84	0
109	0
106	2
15	2
0	33
0	12
178	0
66	0
41	0
0	161
0	115
444	0
100	0
96	0
128	0
101	0
122	0
43	0
329	0
153	0
146	0
19	1
211	0
191	0
77	32
55	0
42	0
236	0
25	0
40	0
103	0
351	0
74	0
91	0
108	0
292	0
238	0
84	0
72	0
62	0
55	0
124	0
37	0
158	0
52	0
339	0
629	0
391	0
71	0
47	66
115	0
66	0
82	0
534	0
432	0
315	0
35	0
148	0
159	0
135	0
74	0
114	0
156	0
1459	0
166	0
77	0
1259	197
255	0
33	0
108	0
169	9
103	0
