UniqueCount	AmbigCount
215	0
121	0
367	0
753	2111
40	0
76	0
43	0
23	0
29	0
25	0
28	0
27	0
25	0
344	0
615	0
0	0
132	0
31	0
162	0
52	0
131	0
52	0
21	0
121	11
32	0
24	0
210	0
107	0
163	0
47	0
23	0
10	0
272	0
36	0
23	0
5013	0
71	0
85	0
88	0
101	0
39	0
93	0
17	0
18	0
54	0
205	0
159	0
238	0
126	0
26	0
357	0
37	0
32	0
502	0
279	0
42	0
27	76
0	0
41	0
74	0
62	0
83	0
30	0
0	1022
0	2
85	0
110	0
12	0
48	0
2	2
12	0
1	0
0	0
0	0
0	0
0	0
5	0
164	0
32	71
1	2
22	2
0	90
124	0
298	3
273	86
356	0
65	0
57	0
335	0
62	0
20	0
24	0
111	0
8	0
94	0
139	0
28	0
516	0
24	0
82	0
139	0
25	0
359	0
42	0
61	0
20	0
23	0
440	198
32	0
451	0
267	0
2	0
47	0
150	0
103	0
25	0
88	0
49	0
75	0
49	0
56	0
249	0
101	0
72	0
0	0
742	0
64	0
413	0
651	0
219	0
319	0
67	0
48	0
48	0
238	0
40	0
160	0
12	0
66	0
68	0
67	0
899	0
199	0
214	0
36	0
17	0
143	629
27	0
285	0
374	0
151	0
266	0
33	0
35	7
82	0
151	1
117	0
97	0
108	100
292	0
64	0
74	0
270	0
452	0
77	0
183	0
42	0
54	0
1664	0
292	0
52	0
63	0
121	0
279	0
88	0
59	0
210	0
58	0
137	0
82	0
26	0
337	0
162	0
102	0
108	193
315	285
507	0
18	0
44	0
159	0
38	0
111	0
8	0
0	24
0	20
80	0
37	0
138	0
92	0
445	0
138	0
68	0
124	0
51	0
43	853
57	0
44	0
177	0
212	0
42	0
11	0
679	0
0	0
107	0
49	0
113	0
93	0
27	0
144	0
108	0
66	47
117	0
34	0
100	0
216	0
4735	0
86	0
216	0
43	0
124	0
329	0
38	0
26	0
36	0
83	0
92	0
8	0
100	0
74	0
0	23
32	0
22	0
177	0
53	0
164	0
19	0
42	0
589	0
109	0
199	0
159	0
191	0
20	0
64	0
7	0
281	0
24	0
37	0
37	73
13	0
14	15
43	19
80	0
51	0
40	0
165	0
134	0
170	0
53	0
73	0
36	0
179	0
298	0
36	0
53	0
126	0
47	0
331	0
68	26
104	0
334	0
73	0
0	7987
46	0
52	0
272	0
121	0
49	0
39	0
613	0
1006	0
41	0
61	0
30	0
37	0
100	0
106	0
21	0
196	0
83	0
67	0
554	0
1273	0
16	0
53	0
190	0
165	0
106	0
126	0
62	0
481	0
120	1
227	0
9	0
24	0
20	0
30	0
20	0
15	0
17	0
146	0
25	0
70	0
89	0
90	0
35	0
33	0
56	0
16	0
51	0
559	0
112	0
14	0
67	0
107	0
25	0
35	0
213	0
235	0
4	0
77	450
82	0
273	0
3	0
47	0
39	0
63	0
23	0
148	28
173	114
45	0
27	0
9	0
40	0
1990	0
8	0
82	0
283	0
79	0
22	0
77	0
436	0
52	0
85	0
101	0
1621	0
31	0
24	0
109	0
3	0
153	0
96	0
95	0
17	0
175	26
0	10
37	10
337	0
394	0
22	0
120	0
87	0
39	0
128	0
333	0
33	0
32	0
190	0
491	0
36	0
103	0
132	0
113	0
44	0
150	0
84	0
32	0
8	0
126	0
26	0
27	0
57	0
101	0
5	0
45	0
15	0
26	0
29	0
156	0
104	0
37	0
15	0
45	0
77	0
27	0
60	0
204	0
36	0
70	0
24	26
44	0
62	0
56	0
26	0
63	0
106	0
54	0
80	0
145	0
63	0
44	0
86	0
73	0
29	0
210	0
68	0
31	0
738	0
557	0
38	0
65	0
127	0
33	0
44	0
75	0
217	0
0	0
42	28
138	0
0	8
0	8
113	1498
78	0
109	0
58	0
39	0
24	0
42	0
26	0
130	0
113	0
28	0
348	0
686	0
0	9370
0	2403
83	0
189	0
14	0
87	0
27	0
191	0
29	0
53	0
95	0
164	0
184	0
43	0
37	0
325	0
67	0
755	37
29	37
268	0
16	0
184	0
39	0
7	0
116	0
176	0
96	0
216	0
51	0
19	0
40	0
154	0
48	33
96	0
51	0
4	0
220	0
5	0
29	85
0	13
5	28
2	4
1	0
89	0
44	0
109	0
236	0
18	0
253	0
141	0
5	0
627	0
15406	0
84	0
34	0
45	0
383	0
11	0
38	0
57	0
24	0
4495	0
152	0
39	0
393	0
131	0
14	0
50	0
111	0
422	95
322	0
362	0
30	0
90	0
99	0
142	0
51	13
189	0
27	0
79	0
16	0
41	0
66	0
16	15
0	15
31	0
15	0
119	0
49	0
63	0
21	0
15	0
89	0
