UniqueCount	AmbigCount
95	0
40	0
283	0
666	2188
85	0
44	0
27	0
12	0
8	0
121	0
43	0
27	0
22	0
270	0
266	0
1	0
76	0
32	0
114	0
49	0
219	0
38	0
28	0
55	8
11	0
5	0
151	0
66	0
67	0
33	0
14	0
8	0
200	0
43	0
10	0
1280	0
62	0
50	0
33	0
67	0
40	0
88	0
46	0
4	0
23	0
236	0
70	0
203	0
111	0
12	0
170	0
31	0
30	0
63	0
70	0
82	0
14	34
0	0
82	0
37	0
52	0
103	0
24	0
0	209
0	0
57	0
160	0
16	0
20	0
1	0
10	0
49	0
2	0
0	0
0	1
1	7
24	0
49	0
16	36
0	3
33	3
0	60
108	0
410	4
256	141
241	0
47	0
75	0
138	0
58	0
16	0
15	0
47	0
3	0
47	0
236	0
24	0
377	0
24	0
28	0
135	0
48	0
168	0
50	0
67	0
18	0
15	0
535	186
30	0
82	0
452	0
4	0
23	0
135	0
60	0
25	0
81	0
30	0
74	0
57	0
81	0
274	0
64	0
97	0
0	0
685	0
19	0
199	0
90	0
140	0
87	0
15	0
26	0
32	0
155	0
42	0
90	0
28	0
23	0
59	0
29	0
800	0
160	0
103	0
38	0
19	0
228	1013
20	0
119	0
483	0
61	0
131	0
28	0
24	3
59	0
34	0
71	0
37	0
126	175
126	0
47	0
86	0
267	0
503	0
42	0
97	0
31	0
60	0
2031	0
140	0
33	0
44	0
41	0
99	0
44	0
34	0
154	0
74	0
115	0
51	0
15	0
192	0
31	0
163	0
183	478
368	395
803	0
8	0
41	0
145	0
40	0
106	0
1	0
2	13
0	6
50	0
37	0
166	0
83	0
604	0
107	0
53	0
82	0
23	0
70	1116
70	0
73	0
183	0
250	0
41	0
26	0
753	0
3	0
76	0
42	0
51	0
76	0
9	0
96	0
87	0
137	71
69	0
15	0
193	0
150	0
1854	0
54	0
193	0
17	0
74	0
100	0
25	0
25	0
24	0
24	0
30	0
8	0
153	0
286	0
4	43
27	0
76	0
1434	0
93	0
120	0
14	0
43	0
538	0
101	0
135	0
66	0
186	0
17	0
154	0
1	0
201	0
44	0
71	0
27	56
35	0
6	6
14	12
46	0
45	0
62	0
96	0
79	0
161	0
43	0
66	0
43	0
96	0
397	0
29	0
31	0
159	0
58	0
136	0
38	5
64	0
317	0
12	0
0	9022
9	0
25	0
256	0
121	0
32	0
77	0
240	0
851	0
17	0
55	0
12	0
16	0
68	0
86	0
21	0
89	0
30	0
27	0
288	0
438	0
12	0
38	0
179	0
85	0
93	0
82	0
12	0
367	0
43	0
131	0
7	0
18	0
26	0
19	0
13	0
3	0
41	0
146	0
24	0
51	0
451	0
57	0
37	0
41	0
62	0
2	0
20	0
224	0
97	0
20	0
50	0
154	0
24	0
45	0
121	0
66	0
7	0
145	1047
112	0
88	0
4	0
111	0
18	0
48	0
7	0
344	79
299	172
47	0
27	0
6	0
31	0
615	0
9	0
54	0
212	0
59	0
14	0
62	0
213	0
20	0
82	0
72	0
592	0
34	0
21	0
40	0
11	0
66	0
28	0
96	0
7	0
139	56
0	3
21	3
438	0
266	0
12	0
53	0
36	0
14	0
102	0
258	0
17	0
12	0
141	0
194	0
38	0
56	0
26	0
36	0
10	0
72	0
29	0
26	0
8	0
78	0
30	0
31	0
90	0
159	0
5	0
34	0
22	0
27	0
43	0
39	0
125	0
17	0
6	0
14	0
47	0
31	0
92	0
249	0
8	0
40	0
23	25
70	0
83	0
29	0
34	0
35	0
78	0
33	0
46	0
140	0
47	0
44	0
51	0
90	0
22	0
171	0
37	0
22	0
432	0
440	0
48	0
55	0
57	0
35	0
35	0
316	0
134	0
7	0
88	38
121	0
4	43
0	2
59	968
60	0
42	0
21	0
24	0
10	0
77	0
24	0
76	0
50	0
19	0
256	0
176	0
0	1660
0	412
42	0
1873	3
5	0
68	0
10	0
135	0
13	0
27	0
52	0
66	0
203	0
16	0
19	0
133	0
26	0
377	16
25	16
489	0
23	0
134	0
14	0
1	0
35	0
106	0
30	0
102	0
31	0
15	0
10	0
109	0
22	12
36	0
17	0
11	0
72	0
5	1
11	25
0	1
1	24
1	0
19	0
78	0
22	0
102	0
246	0
4	0
93	0
75	0
3	0
187	0
2684	0
17	0
24	0
16	0
186	0
5	0
24	0
33	0
27	0
1442	0
82	0
24	0
241	0
51	0
27	0
32	0
51	0
485	122
78	0
100	0
61	0
33	0
88	0
55	0
2	1
75	1
28	0
68	0
5	0
36	0
27	0
10	4
1	4
8	0
10	0
58	0
24	0
33	0
11	0
5	0
22	0
4	0
49	0
10	0
51	0
26	0
62	0
22	0
13	0
54	0
13	0
18	0
64	0
35	0
112	0
65	0
41	0
5	0
40	0
19	0
27	0
12	0
17	0
209	0
13	0
19	0
0	25
34	0
199	0
2	0
13	0
4	0
131	46
1	2
1542	0
108	0
132	290
23	0
54	0
207	0
5	0
18	0
18	0
46	0
58	0
1675	0
201	0
149	0
147	0
47	0
29	0
26	0
16	0
12	0
80	0
58	0
76	0
15	0
818	0
153	0
113	0
683	0
55	0
10	0
818	0
84	0
240	0
708	33
3	0
42	0
94	0
39	0
116	0
17	0
63	0
111	0
47	0
38	0
95	0
83	0
18	0
2	4
127	0
144	0
150	0
48	0
272	71
93	0
47	0
3	0
128	0
767	0
22	0
39	0
560	0
72	0
49	0
164	2
14	2
177	704
9	880
562	0
59	0
17	0
0	36
0	11
206	0
20	0
154	0
171	0
48	0
119	0
13	0
73	0
163	0
30	0
0	0
152	0
68	0
40	14
26	0
30	0
162	0
39	0
36	0
47	0
233	0
31	0
55	0
135	0
212	0
169	0
72	0
7	0
21	0
20	0
73	0
13	0
34	0
7	0
101	0
333	0
63	0
19	0
33	32
45	0
25	0
52	0
442	0
197	0
159	0
22	0
48	0
57	0
110	0
32	0
53	0
311	0
1861	0
44	0
162	0
690	109
223	0
16	0
28	0
64	1
32	0
80	0
98	0
14	0
188	0
10	15
297	0
74	0
162	0
188	0
14	0
122	0
25	0
203	311
20	0
6	0
28	0
99	0
37	0
64	0
137	13
22	0
58	0
4	0
135	0
28	0
129	0
60	0
190	0
914	0
44	0
57	0
174	0
146	0
48	0
36	0
84	0
66	0
38	0
119	1013
414	0
16	0
183	0
3	0
58	0
206	0
32	0
17	0
52	0
78	0
9	0
29	0
349	175
33	0
8	0
152	0
2	0
89	0
42	0
110	0
361	0
33	0
16	0
5	0
71	0
42	0
201	21
96	0
201	0
12	0
202	0
3	0
0	169
11	0
48	0
708	0
55	0
103	0
67	0
121	0
6	17
29	0
129	0
24	0
740	0
63	0
36	0
1	0
23	0
230	0
38	0
31	0
164	0
17	0
0	49
37	0
47	0
42	0
78	0
330	0
274	0
63	0
47	0
80	0
14	0
53	0
134	0
19	0
87	0
22	0
76	0
693	0
473	0
1	0
10	0
88	0
28	0
44	0
8	0
61	0
2	0
0	42
0	698
142	344
80	0
101	0
73	0
8	0
86	0
6	0
10	0
25	0
60	0
10	0
10	0
13	0
233	0
176	0
49	0
8	0
39	0
94	0
87	0
0	0
135	0
104	0
47	0
12	0
139	0
40	0
96	0
216	0
74	0
178	0
174	190
217	0
28	0
126	0
53	0
86	0
150	0
22	0
22	0
8	0
0	2
14	0
83	133
0	92
3	458
87	0
44	0
40	0
56	0
13	0
95	0
732	0
892	0
308	0
303	3
15	0
85	0
30	0
1	0
5	0
68	0
74	0
706	0
268	0
256	0
577	0
1	0
50	0
89	0
49	0
101	0
476	0
338	0
71	0
98	0
48	0
83	0
17	0
17	0
19	0
29	0
1033	0
6	0
56	0
15	0
23	0
87	0
93	33
42	33
86	0
37	0
62	0
52	0
603	0
287	0
625	0
49	0
0	638
0	35
62	35
72	0
50	0
26	0
12	0
23	0
5	0
51	0
220	0
26	0
18	10
20	0
202	0
68	0
33	0
275	0
66	0
148	0
91	0
36	0
58	0
58	0
57	0
66	0
68	0
14	0
185	0
46	0
24	0
22	0
152	0
43	0
33	0
52	0
29	0
71	0
77	33
81	5
32	1
43	0
97	0
445	0
35	0
30	0
82	0
83	0
179	0
8	0
102	0
69	0
129	0
19	0
38	0
93	0
286	0
265	0
18	0
53	0
15	0
85	0
11	0
64	0
24	0
58	0
72	0
68	0
12	0
2	0
17	0
12	0
6	0
66	0
196	0
46	0
20	0
44	0
2	0
42	0
208	0
1	7
21	0
147	473
44	0
25	0
141	0
4	0
40	0
42	0
7	0
47	0
25	0
50	0
20	0
4	0
18	0
80	0
16	0
8	0
30	0
26	0
15	0
75	0
363	0
132	0
46	0
283	0
31	0
14	0
27	0
23	0
36	0
47	0
17	0
250	1578
64	0
41	0
13	0
63	0
982	0
63	0
24	0
531	0
0	0
0	0
90	0
25	0
49	0
4	0
190	0
30	0
18	0
235	0
46	0
