UniqueCount	AmbigCount
217	0
66	0
643	0
1323	3027
142	0
62	0
43	0
48	0
94	0
155	0
58	0
33	0
39	0
296	0
343	0
5	0
209	0
18	0
76	0
35	0
285	0
65	0
84	0
142	5
34	0
21	0
246	0
121	0
93	0
57	0
31	0
20	0
841	0
73	0
11	0
2608	0
105	0
65	0
83	0
86	0
33	0
162	0
38	0
38	0
24	0
302	0
103	0
179	0
127	0
95	0
187	0
23	0
26	0
160	0
125	0
144	0
21	49
0	0
114	0
75	0
60	0
106	0
50	0
0	1359
0	1
94	0
205	0
23	0
44	0
4	1
9	0
58	0
7	0
4	0
0	1
1	7
15	0
139	0
18	53
0	1
37	5
0	91
254	0
406	3
474	123
260	0
55	0
111	0
269	0
58	0
17	0
34	0
132	0
4	0
52	0
533	0
36	0
414	0
47	0
42	0
161	0
100	0
357	0
40	0
116	0
19	0
75	0
824	364
137	0
440	0
781	0
11	0
45	0
366	0
122	0
42	0
175	0
32	0
261	0
39	0
172	0
478	0
73	0
266	0
0	0
1214	0
41	0
376	0
111	0
295	0
268	0
133	0
31	0
49	0
159	0
62	0
226	0
84	0
60	0
72	0
112	0
1505	0
239	0
225	0
45	0
23	0
236	1287
21	0
215	0
374	0
242	0
151	0
39	0
48	7
51	0
135	5
182	0
136	0
147	232
215	0
51	0
173	0
600	0
1087	0
97	0
102	0
66	0
91	0
4471	0
182	0
64	0
84	0
106	0
145	0
54	0
126	0
147	0
94	0
123	0
66	0
34	0
203	0
138	0
142	0
329	899
617	587
834	0
19	0
108	0
147	0
70	0
83	0
7	0
4	9
0	12
69	0
81	0
115	0
199	0
721	0
180	0
108	0
100	0
43	0
97	911
130	0
80	0
236	0
211	0
55	0
25	0
1352	0
15	0
106	0
44	0
58	0
170	0
34	0
151	0
297	0
113	93
187	0
79	0
387	0
176	0
3934	0
143	0
258	0
79	0
105	0
231	0
92	0
42	0
81	0
75	0
60	0
48	0
286	0
336	0
3	53
38	0
72	0
5727	0
125	0
117	0
14	0
68	0
469	0
184	0
123	0
303	0
1045	0
44	0
153	0
5	0
188	0
44	0
97	0
51	118
62	0
7	13
19	16
70	0
137	0
68	0
125	0
247	0
791	0
65	0
79	0
56	0
149	0
576	0
31	0
76	0
229	0
67	0
273	0
143	21
130	0
235	0
39	0
0	8207
76	0
163	0
404	0
259	0
62	0
70	0
398	0
602	0
45	0
94	0
82	0
22	0
77	0
104	0
66	0
108	0
50	0
33	0
255	0
495	0
15	0
117	0
210	0
163	0
224	0
141	0
93	0
442	0
82	1
190	0
32	0
44	0
74	0
96	0
48	0
22	0
88	0
226	0
55	0
80	0
309	0
81	0
101	0
68	0
76	0
30	0
34	0
577	0
97	0
50	0
260	0
303	0
43	0
72	0
211	0
248	0
11	0
145	1115
92	0
147	0
15	0
134	0
53	0
67	0
51	0
503	85
357	247
77	0
55	0
15	0
36	0
754	0
5	0
120	0
286	0
117	0
78	0
75	0
218	0
43	0
91	0
100	0
373	0
62	0
42	0
47	0
14	0
131	0
146	0
86	0
17	0
257	34
1	10
34	10
444	0
298	0
8	0
59	0
119	0
40	0
119	0
573	0
26	0
50	0
175	0
193	0
47	0
134	0
30	0
88	0
19	0
68	0
79	0
36	0
15	0
234	0
40	0
45	0
88	0
169	0
8	0
113	0
32	0
91	0
51	0
131	0
394	0
80	0
29	0
47	0
75	0
29	0
207	0
274	0
40	0
35	0
49	45
147	0
112	0
43	0
58	0
46	0
136	0
42	0
107	0
184	0
118	0
283	0
46	0
86	0
99	0
242	0
68	0
64	0
666	0
364	0
81	0
95	0
284	0
33	0
47	0
345	0
106	0
3	0
125	53
250	0
7	47
1	22
103	1310
113	0
66	0
34	0
22	0
17	0
52	0
30	0
133	0
84	0
24	0
227	0
148	0
0	6968
0	1203
173	0
1308	1
21	0
95	0
30	0
244	0
89	0
34	0
55	0
96	0
528	0
14	0
43	0
101	0
46	0
502	18
20	18
699	0
36	0
156	0
24	0
1	0
55	0
301	0
91	0
135	0
129	0
27	0
57	0
147	0
137	76
165	0
157	0
16	0
69	0
5	1
126	266
0	7
4	29
2	6
15	0
88	0
128	0
120	0
232	0
23	0
190	0
215	0
5	0
270	0
3615	0
127	0
30	0
179	0
137	0
14	0
28	0
89	0
50	0
3780	0
85	0
46	0
161	0
60	0
21	0
29	0
93	0
545	162
111	0
439	0
37	0
89	0
109	0
65	0
47	7
173	5
20	0
55	0
10	0
51	0
54	0
11	1
1	1
16	0
19	0
112	0
32	0
52	0
15	0
10	0
25	0
9	0
47	0
18	0
68	0
19	0
112	0
69	0
30	0
50	0
12	0
33	0
111	0
40	0
196	0
90	0
53	0
36	0
124	0
33	0
38	0
49	0
38	0
337	0
11	0
84	0
0	266
236	0
399	0
9	0
7	0
3	0
159	31
2	9
2007	0
107	0
123	298
25	0
69	0
256	0
142	0
43	0
95	0
52	0
236	4
4107	0
490	0
554	0
120	0
69	0
42	0
19	0
78	0
50	0
127	0
89	0
102	0
69	0
1041	0
173	0
122	0
748	0
50	0
22	0
594	0
88	0
398	0
863	21
6	0
104	9
130	0
31	0
798	0
18	0
71	0
109	0
107	0
38	0
67	0
41	0
7	0
4	16
224	0
363	0
150	0
93	0
238	80
123	0
48	0
10	0
107	0
799	0
166	0
56	0
627	0
51	0
47	0
163	4
15	4
381	1309
25	2466
660	0
107	0
31	0
0	28
0	5
258	0
532	0
230	0
110	0
46	0
163	0
11	0
466	0
221	0
65	0
4	0
350	0
174	0
54	33
21	0
80	0
278	0
29	0
32	0
101	0
444	0
84	0
88	0
166	0
236	0
233	0
98	0
36	0
128	0
358	0
109	0
52	0
109	0
63	0
239	0
304	0
185	0
42	0
19	33
103	0
47	0
78	0
384	0
299	0
444	0
59	0
174	0
153	0
112	0
270	0
64	0
423	0
4531	0
208	0
167	0
540	109
309	0
77	0
86	0
70	5
51	0
147	0
211	0
19	0
293	0
20	9
1305	0
181	0
180	0
134	0
59	0
149	0
56	0
345	476
67	0
7	0
62	0
146	0
199	0
201	0
283	21
106	0
92	0
4	0
130	0
38	0
415	0
58	0
148	0
631	0
113	0
121	0
288	0
94	0
33	0
105	0
104	0
182	0
38	0
144	1287
1502	0
39	0
189	0
30	0
60	0
153	0
240	0
162	0
60	0
125	0
42	0
46	0
460	232
75	0
14	0
152	0
21	0
228	0
91	0
218	0
296	0
60	0
80	0
29	0
176	0
73	0
475	71
137	0
687	0
25	0
239	0
27	0
0	1011
32	0
63	0
617	0
163	0
112	0
65	0
130	0
17	52
35	0
313	0
49	0
2530	0
249	0
32	0
1	0
63	0
445	0
29	0
54	0
251	0
137	0
0	240
185	0
121	0
59	0
256	0
638	0
255	0
136	0
59	0
127	0
22	0
68	0
177	0
60	0
97	0
47	0
352	0
1105	0
522	0
11	0
41	0
308	0
32	0
23	0
11	0
114	0
11	0
0	34
0	1028
227	478
191	0
90	0
121	0
14	0
161	0
33	0
39	0
59	0
46	0
12	0
69	0
42	0
668	0
259	0
91	0
4	0
107	0
165	0
117	0
4	0
185	0
146	0
69	0
18	0
208	0
92	0
104	0
238	0
114	0
577	0
185	230
579	0
51	0
93	0
120	0
112	0
126	0
42	0
22	0
12	0
0	23
18	0
130	219
0	86
4	837
111	0
50	0
84	0
99	0
16	0
211	0
579	0
1574	0
356	0
586	5
45	0
82	0
45	0
2	0
23	0
103	0
133	0
691	0
196	0
206	0
690	0
5	1
295	0
85	0
75	0
130	0
796	0
368	0
56	0
121	0
60	0
66	0
20	0
20	0
23	0
46	0
1333	0
54	0
63	0
20	0
24	0
118	0
277	120
133	120
94	0
88	0
57	0
51	0
754	0
272	0
1467	0
183	0
0	4451
0	74
51	74
114	0
49	0
141	0
77	0
19	0
9	0
120	0
314	0
63	0
107	32
24	0
251	0
75	0
19	0
955	0
102	0
224	0
114	0
59	0
102	0
284	0
84	0
94	0
231	0
120	0
624	0
62	0
60	0
39	0
91	0
152	0
133	0
91	0
137	0
105	0
93	23
127	7
33	3
94	0
107	0
568	0
47	0
40	0
169	0
150	0
251	0
5	0
101	0
178	0
138	0
26	0
98	0
125	0
378	0
334	0
69	0
83	0
43	0
160	0
50	0
162	0
30	0
169	0
74	0
64	0
31	0
3	0
44	0
9	0
19	0
75	0
223	0
76	0
38	0
151	0
5	0
56	0
343	0
0	14
34	0
211	817
41	0
37	0
258	0
9	0
303	0
96	0
16	0
63	0
59	0
36	0
114	0
6	0
85	0
117	0
53	0
7	0
177	0
50	0
32	0
145	0
1067	0
91	0
126	0
318	0
70	0
22	0
37	0
44	0
88	0
49	0
23	0
401	2476
77	0
95	0
19	0
80	0
1175	0
92	0
47	0
639	0
6	0
0	0
133	0
54	0
93	0
13	0
238	0
25	0
60	0
467	0
64	0
147	0
100	0
37	0
136	0
164	0
200	0
84	0
69	0
141	638
43	0
170	0
68	0
62	0
94	0
44	0
7	0
17	51
1	1
0	7
6	91
51	19
0	154
1	863
75	0
82	0
50	0
47	0
197	0
39	0
65	0
55	0
102	0
59	0
10	0
108	0
110	0
19	0
98	0
140	0
429	542
85	0
48	0
83	0
88	0
14	0
83	0
146	0
107	0
8	0
210	0
179	0
182	0
180	0
172	0
95	0
44	0
105	0
95	0
64	0
161	0
20	0
102	0
74	0
92	0
121	0
465	0
153	0
22	0
68	0
113	0
383	251
54	0
49	0
614	0
2	0
3	226
22	0
211	0
185	0
53	0
138	0
27	0
43	0
113	0
71	476
293	0
89	0
20	0
47	0
204	11
1077	0
183	0
84	0
448	0
30	0
153	0
43	0
104	0
154	0
255	0
23	0
56	0
78	0
35	0
89	0
222	0
66	0
38	0
129	0
161	0
13	0
71	0
7	0
108	0
44	0
194	41
24	0
289	0
217	0
177	0
60	0
86	0
516	0
32	0
50	0
294	0
465	0
13	0
86	0
174	0
62	0
105	0
60	0
50	0
115	0
1238	0
482	0
83	0
90	0
258	0
204	1
49	0
14	0
474	2
34	0
138	0
642	0
172	0
196	0
25	0
32	0
263	0
294	0
179	0
23	0
112	0
151	0
723	329
685	0
46	0
247	0
24	0
52	0
50	0
1285	0
89	0
148	0
17	0
50	0
27	0
90	0
164	0
35	0
55	0
54	0
36	58
0	4
0	53
0	20
0	805
126	0
193	0
89	0
232	0
24	0
187	0
47	0
40	0
23	0
87	0
109	0
56	0
1	0
47	0
34	0
52	0
94	0
63	0
8297	0
95	0
122	0
114	0
133	0
42	0
40	0
20	0
27	0
46	0
68	0
174	0
111	0
174	0
121	0
105	0
72	0
344	0
69	0
122	15
0	6
30	0
202	0
351	0
123	0
80	0
368	0
134	478
126	0
95	0
311	0
