UniqueCount	AmbigCount
253	0
146	0
455	0
872	2217
37	0
91	0
40	0
20	0
56	0
22	0
38	0
20	0
15	0
357	0
674	0
1	0
149	0
21	0
131	0
54	0
132	0
37	0
25	0
154	9
37	0
24	0
286	0
110	0
141	0
55	0
24	0
15	0
318	0
34	0
34	0
4464	0
76	0
77	0
94	0
92	0
31	0
93	0
17	0
34	0
51	0
264	0
153	0
265	0
115	0
41	0
439	0
32	0
31	0
509	0
328	0
58	0
24	98
0	0
42	0
65	0
65	0
115	0
33	0
0	1312
0	2
116	0
114	0
10	0
66	0
1	2
14	0
2	0
0	0
0	0
0	0
0	0
4	0
200	0
23	95
0	4
29	0
0	128
168	0
332	4
376	107
467	0
86	0
84	0
366	0
68	0
9	0
35	0
111	0
6	0
92	0
118	0
24	0
560	0
37	0
98	0
130	0
34	0
452	0
50	0
79	0
14	0
45	0
503	226
49	0
678	0
308	0
5	0
32	0
158	0
122	0
28	0
151	0
46	0
103	0
58	0
63	0
316	0
110	0
43	0
2	0
864	0
58	0
522	0
724	0
279	0
350	0
91	0
51	0
61	0
236	0
34	0
194	0
24	0
80	0
87	0
94	0
1003	0
240	0
249	0
25	0
9	0
207	806
34	0
351	0
430	0
206	0
309	0
33	0
32	12
55	0
170	4
172	0
157	0
123	131
352	0
79	0
102	0
308	0
587	0
78	0
162	0
68	0
61	0
1637	0
296	0
54	0
76	0
116	0
317	0
94	0
78	0
236	0
55	0
140	0
81	0
23	0
328	0
193	0
100	0
172	310
456	421
534	0
18	0
64	0
188	0
27	0
108	0
12	0
0	30
0	12
67	0
44	0
140	0
160	0
443	0
187	0
70	0
109	0
37	0
43	738
65	0
74	0
223	0
221	0
51	0
17	0
859	0
5	0
124	0
46	0
157	0
129	0
43	0
166	0
121	0
68	41
139	0
30	0
181	0
235	0
5198	0
108	0
311	0
65	0
127	0
388	0
63	0
30	0
49	0
97	0
119	0
25	0
103	0
90	0
1	14
31	0
34	0
174	0
86	0
213	0
27	0
53	0
564	0
156	0
233	0
217	0
268	0
31	0
77	0
4	0
312	0
37	0
44	0
36	103
16	0
16	10
36	20
73	0
61	0
61	0
185	0
109	0
176	0
84	0
94	0
33	0
208	0
356	0
40	0
81	0
167	0
53	0
417	0
93	31
111	0
316	0
77	0
0	7451
49	0
79	0
283	0
132	0
61	0
39	0
582	0
1096	0
57	0
78	0
42	0
47	0
128	0
95	0
21	0
240	0
108	0
59	0
645	0
1337	0
18	0
57	0
197	0
144	0
110	0
136	0
101	0
504	0
122	2
231	0
26	0
21	0
40	0
45	0
26	0
20	0
7	0
159	0
29	0
80	0
81	0
118	0
44	0
49	0
80	0
34	0
41	0
617	0
131	0
30	0
100	0
124	0
25	0
46	0
227	0
229	0
10	0
93	629
78	0
294	0
6	0
66	0
46	0
62	0
20	0
178	42
203	134
69	0
40	0
8	0
45	0
1968	0
17	0
102	0
305	0
98	0
40	0
66	0
547	0
61	0
70	0
80	0
1620	0
36	0
35	0
112	0
5	0
155	0
112	0
105	0
17	0
169	35
0	8
36	8
362	0
348	0
24	0
139	0
79	0
46	0
180	0
390	0
44	0
31	0
194	0
512	0
47	0
153	0
149	0
146	0
60	0
134	0
112	0
34	0
19	0
124	0
24	0
40	0
44	0
110	0
6	0
64	0
17	0
43	0
41	0
226	0
137	0
43	0
17	0
50	0
90	0
30	0
80	0
248	0
37	0
52	0
41	16
52	0
62	0
57	0
22	0
68	0
125	0
53	0
116	0
182	0
89	0
82	0
64	0
86	0
42	0
149	0
72	0
43	0
833	0
537	0
51	0
92	6
190	0
36	0
38	0
96	0
218	0
0	0
48	34
120	0
0	11
0	12
141	1665
73	0
112	0
62	0
30	0
13	0
44	0
33	0
165	0
152	0
28	0
359	0
602	0
0	11407
0	2862
98	0
151	0
21	0
66	0
32	0
178	0
72	0
84	0
93	0
199	0
300	0
42	0
48	0
263	0
73	0
678	19
34	19
299	0
20	0
235	0
42	0
16	0
120	0
193	0
103	0
219	0
81	0
26	0
69	0
160	0
57	52
141	0
92	0
12	0
223	0
8	1
58	103
0	13
4	31
2	1
0	0
88	0
55	0
93	0
217	0
31	0
304	0
212	0
8	0
716	0
12527	0
122	0
34	0
39	0
366	0
12	0
37	0
69	0
37	0
5584	0
167	0
49	0
389	2
161	0
27	0
51	0
143	0
435	117
381	0
402	0
24	0
111	0
120	0
