UniqueCount	AmbigCount
80	0
35	0
150	0
2234	2870
40	0
39	0
8	0
7	0
75	0
102	0
47	0
17	0
31	0
166	0
243	0
3	0
54	0
6	0
26	0
17	0
124	0
23	0
13	0
26	4
23	0
30	0
93	0
72	0
35	0
19	0
8	0
7	0
372	0
13	0
2	0
533	0
56	0
14	0
15	0
40	0
9	0
157	0
17	0
19	0
15	0
180	0
73	0
66	0
100	0
43	0
90	0
13	0
7	0
336	0
101	0
57	0
20	45
0	0
29	0
31	0
7	0
67	0
10	0
0	296
0	1
18	0
37	0
6	0
26	0
2	1
8	0
14	0
4	0
0	0
0	0
0	2
6	0
70	0
13	51
2	2
2	0
0	21
380	0
205	6
469	98
130	0
37	0
62	0
293	0
22	0
21	0
17	0
124	2
7	0
27	0
559	0
22	0
264	0
16	0
22	0
55	0
34	0
452	0
23	0
56	0
8	0
46	0
201	184
77	0
267	0
476	0
7	0
41	0
194	0
42	0
23	0
57	0
24	0
194	0
13	0
72	0
620	0
29	0
89	0
2	0
970	0
29	0
374	0
62	0
156	0
211	0
83	0
10	0
16	0
94	0
37	0
262	0
51	0
45	0
41	0
59	0
1886	0
217	0
108	0
19	0
11	0
68	545
13	0
214	0
216	0
209	0
90	0
22	0
10	11
24	0
50	3
97	0
219	0
68	115
88	0
30	0
83	0
541	0
504	0
46	0
34	0
44	0
34	0
3157	0
172	0
72	0
76	0
48	0
106	0
69	0
49	0
176	0
43	0
68	0
50	0
42	0
125	0
88	0
62	0
292	683
688	302
477	0
4	0
52	0
103	0
90	0
45	0
6	0
4	6
0	3
21	0
20	0
58	0
246	0
401	0
56	0
31	0
28	0
9	0
72	412
53	0
41	0
225	0
124	0
59	0
32	0
739	0
7	0
41	0
16	0
43	0
86	0
18	0
86	0
90	0
63	30
203	0
230	0
510	0
94	0
657	0
58	0
391	0
80	0
37	0
333	0
32	0
5	0
47	0
35	0
42	0
12	0
42	0
51	0
2	21
18	0
19	0
2732	0
113	0
38	0
28	0
30	0
299	0
93	0
63	0
134	0
510	0
42	0
56	0
0	0
304	0
17	0
108	0
39	123
37	0
2	5
17	10
48	0
74	0
30	0
50	0
112	0
807	0
30	0
54	0
16	0
284	0
203	0
11	0
64	0
106	0
31	0
252	0
227	19
238	0
183	0
436	0
0	5619
47	0
159	0
232	0
194	0
59	0
29	0
649	0
335	0
45	0
51	0
38	0
18	0
41	0
53	0
39	0
45	0
40	0
40	0
423	0
404	0
8	0
56	0
83	0
62	0
117	0
163	0
190	0
305	0
64	0
165	0
33	0
4	0
27	0
41	0
34	0
16	0
42	0
77	0
10	0
44	0
220	0
30	0
41	0
42	0
30	0
16	0
15	0
1517	0
30	0
45	0
156	0
262	0
12	0
23	0
279	0
189	0
17	0
103	316
21	0
224	0
9	0
53	0
23	0
37	0
15	0
257	14
145	66
23	0
22	0
12	0
13	0
421	0
3	0
102	0
141	0
39	0
28	0
39	0
140	0
27	0
55	0
76	0
137	0
20	0
25	0
30	0
10	0
323	0
75	0
30	0
11	0
433	35
0	4
10	4
146	0
143	0
11	0
52	0
62	0
19	0
85	0
617	0
28	0
15	0
129	0
115	0
24	0
85	0
37	0
48	0
36	0
74	0
15	0
25	0
5	0
146	0
11	0
14	0
49	0
115	0
9	0
66	0
23	0
55	0
15	0
60	0
387	0
57	0
13	0
13	0
67	0
23	0
121	0
126	0
31	0
23	0
29	31
101	0
164	0
29	0
17	0
21	0
92	0
24	0
58	0
61	0
57	0
216	0
39	0
22	0
81	0
160	0
114	0
46	0
1654	0
313	0
27	0
46	0
239	0
19	0
14	0
53	0
48	0
8	0
48	32
358	0
0	43
0	4
151	847
54	0
19	0
19	0
21	0
17	0
122	0
14	0
101	0
53	0
8	0
123	0
64	0
0	1705
0	343
76	0
255	0
6	0
51	0
8	0
158	0
37	0
22	0
36	0
89	0
770	0
10	0
21	0
67	0
53	0
417	18
26	18
427	0
20	0
64	0
9	0
2	0
33	0
149	0
61	0
57	0
68	0
11	0
41	0
113	0
136	40
52	0
48	0
7	0
22	0
5	0
190	407
0	6
2	9
1	7
4	0
60	0
96	0
104	0
30	0
11	0
134	0
78	0
2	0
178	0
585	0
26	0
9	0
70	0
81	0
1	0
6	0
38	0
20	0
4001	0
46	0
16	0
62	1
22	0
8	0
9	0
86	0
323	89
31	0
308	0
15	0
54	0
40	0
39	0
48	6
81	1
13	0
23	0
4	0
62	0
45	0
2	3
0	3
15	0
11	0
68	0
10	0
23	0
20	0
7	0
44	0
1	0
22	0
15	0
26	0
6	0
78	0
62	0
5	0
