UniqueCount	AmbigCount
117	0
61	0
250	0
2647	3378
63	0
51	0
21	0
17	0
80	0
136	0
49	0
26	0
20	0
216	0
292	0
3	0
81	0
7	0
43	0
23	0
152	0
43	0
38	0
68	2
20	0
22	0
147	0
80	0
67	0
16	0
13	0
12	0
519	0
27	0
3	0
686	0
81	0
25	0
39	0
47	0
33	0
192	0
25	0
23	0
12	0
230	0
75	0
98	0
112	0
46	0
112	0
12	0
19	0
283	0
126	0
67	0
26	41
0	0
44	0
29	0
14	0
65	0
17	0
0	432
0	1
31	0
63	0
5	0
29	0
0	2
6	0
20	0
3	0
3	0
0	0
0	10
7	0
81	0
15	45
0	2
5	0
0	37
373	0
362	10
607	130
172	0
55	0
77	0
383	0
36	0
25	0
18	0
180	0
6	0
44	0
651	0
34	0
361	0
41	0
19	0
95	0
43	0
560	0
27	0
113	0
15	0
65	0
364	261
114	0
405	0
659	0
6	0
54	0
241	0
84	0
35	0
80	0
25	0
255	0
34	0
87	0
657	0
57	0
140	0
0	0
1327	0
39	0
454	0
102	0
197	0
260	0
94	0
19	0
22	0
135	0
40	0
326	0
81	0
73	0
61	0
89	0
2310	0
239	0
146	0
30	0
21	0
116	847
17	0
293	0
342	0
337	0
135	0
39	0
37	6
34	0
102	4
128	0
224	0
137	196
157	0
49	0
112	0
683	0
953	0
79	0
40	0
54	0
49	0
3993	0
213	0
71	0
107	0
65	0
132	0
84	0
91	0
176	0
39	0
88	0
39	0
32	0
158	0
137	0
71	0
575	1180
911	520
797	0
10	0
93	0
137	0
128	0
70	0
4	0
2	14
0	5
43	0
36	0
86	0
301	0
539	0
112	0
55	0
47	0
11	0
96	687
90	0
45	0
248	0
163	0
51	0
65	0
825	0
5	0
66	0
20	0
44	0
142	0
31	0
124	0
121	0
102	69
250	0
284	0
561	0
143	0
995	0
73	0
413	0
136	0
81	0
413	0
62	0
30	0
42	0
64	0
59	0
11	0
37	0
81	0
2	20
34	0
48	0
3218	0
123	0
87	0
30	0
39	0
452	0
170	0
95	0
217	0
693	0
62	0
75	0
3	0
396	0
24	0
160	0
47	128
28	0
14	11
26	17
80	0
77	0
44	0
91	0
123	0
914	0
48	0
57	0
31	0
284	0
310	0
10	0
99	0
167	0
66	0
320	0
283	14
268	0
217	0
550	0
0	8431
60	0
199	0
357	0
259	0
85	0
54	0
868	0
484	0
54	0
51	0
68	0
21	0
50	0
75	0
41	0
66	0
52	0
61	0
467	0
587	0
7	0
80	0
131	0
76	0
150	0
167	0
234	0
420	0
87	0
228	0
44	0
15	0
57	0
61	0
58	0
23	0
59	0
82	0
33	0
75	0
293	0
51	0
54	0
39	0
43	0
13	0
16	0
1730	0
59	0
32	0
215	0
305	0
16	0
27	0
300	0
254	0
32	0
106	628
36	0
240	0
10	0
91	0
17	0
39	0
29	0
447	59
253	155
32	0
34	0
11	0
21	0
662	0
6	0
161	0
176	0
72	0
41	0
50	0
163	0
41	0
58	0
118	0
205	0
45	0
24	0
29	0
16	0
358	0
141	0
51	0
18	0
424	41
0	7
11	7
215	0
257	0
10	0
84	0
113	0
30	0
114	0
670	0
45	0
23	0
173	0
154	0
34	0
107	0
35	0
70	0
29	0
111	0
37	0
28	0
10	0
201	0
10	0
41	0
68	0
163	0
18	0
90	0
28	0
66	0
33	0
99	0
416	0
92	0
27	0
20	0
80	0
29	0
170	0
153	0
46	0
30	0
45	52
144	0
186	0
35	0
21	0
40	0
147	0
39	0
97	0
118	0
64	0
212	0
56	0
39	0
98	0
203	0
128	0
46	0
1909	0
370	0
45	0
96	0
333	0
31	0
23	0
72	0
56	0
4	0
90	35
352	0
0	41
0	9
131	951
75	0
22	0
37	0
17	0
22	0
113	0
23	0
135	0
110	0
10	0
161	0
77	0
0	2421
0	419
122	0
401	0
12	0
60	0
19	0
174	0
60	0
24	0
40	0
100	0
969	0
15	0
32	0
74	0
62	0
429	23
31	23
521	0
19	0
77	0
17	0
5	0
26	0
197	0
85	0
77	0
91	0
19	0
55	0
136	0
209	55
76	0
92	0
19	0
28	0
13	1
225	436
0	5
1	12
2	1
2	0
67	0
145	0
156	0
51	0
16	0
158	0
112	0
4	0
252	0
664	0
63	0
12	0
125	0
102	0
4	0
13	0
30	0
18	0
3733	0
55	0
23	0
86	1
43	0
7	0
12	0
117	0
453	118
48	0
422	0
31	0
73	0
91	0
62	0
48	5
129	0
15	0
29	0
7	0
70	0
36	0
3	6
1	6
21	0
16	0
91	0
19	0
32	0
13	0
16	0
58	0
4	0
43	0
13	0
35	0
7	0
84	0
80	0
12	0
26	0
10	0
36	0
104	0
26	0
186	0
59	0
40	0
41	0
209	0
27	0
28	0
153	0
99	0
323	0
18	0
85	0
0	436
270	0
21	0
3	0
4	0
2	0
21	4
0	7
0	0
0	0
0	57
55	0
69	0
187	0
149	0
24	0
46	0
58	0
334	2
3785	0
1557	0
435	0
155	0
62	0
25	0
28	0
32	0
34	0
111	0
62	0
62	0
35	0
471	0
86	0
109	0
388	0
33	0
23	0
412	0
57	0
424	0
629	13
10	0
79	7
139	0
62	0
2616	1
24	0
59	0
126	0
111	0
59	0
47	0
48	0
5	0
0	10
183	0
260	0
153	0
61	0
176	81
111	0
44	0
26	0
99	0
2332	0
119	0
32	0
353	0
22	0
24	0
54	0
8	0
178	1238
355	2350
0	0
0	0
3	0
0	33
0	5
302	0
487	0
133	0
102	0
38	0
157	0
14	0
430	0
110	0
50	0
4	0
311	0
144	0
42	38
28	0
49	0
332	0
56	0
30	0
110	0
580	0
78	0
83	0
153	0
205	0
223	0
68	0
58	0
169	0
354	0
70	0
39	0
278	0
72	0
360	0
224	0
398	0
112	0
12	28
48	0
43	0
55	0
157	0
363	0
235	0
56	0
136	0
130	0
54	0
215	0
74	0
380	0
7733	0
532	0
160	0
250	39
224	0
78	0
32	0
49	3
47	0
205	0
180	0
24	0
407	0
22	5
3761	0
193	0
228	0
170	0
45	0
113	0
93	0
227	366
50	0
9	0
44	0
133	0
270	0
265	0
378	19
118	0
76	0
4	0
106	0
36	0
536	0
74	0
88	0
827	0
77	0
114	0
281	0
95	0
35	0
210	0
82	0
133	0
41	0
58	847
3265	1
23	0
161	0
26	0
40	0
169	0
207	0
139	0
25	0
75	0
47	0
48	0
290	196
31	0
26	0
194	0
17	0
164	0
54	0
227	0
306	0
33	0
51	0
29	0
139	0
66	0
550	69
79	0
575	0
13	0
122	0
21	0
0	282
9	0
23	0
526	0
95	0
116	0
51	0
46	0
28	46
46	0
166	0
30	0
3631	0
319	0
45	0
0	0
97	0
268	0
31	0
34	0
250	0
262	0
0	97
158	0
70	0
53	0
305	0
604	0
276	0
144	0
55	0
198	0
12	0
52	0
144	0
41	0
111	0
83	0
301	0
954	0
520	0
8	0
22	0
384	0
26	0
12	0
9	0
32	0
8	0
0	37
0	1089
139	430
238	0
32	0
81	0
6	0
97	0
134	0
9	0
69	0
27	0
14	0
45	0
29	0
483	0
62	0
46	0
2	0
88	0
69	0
629	0
5	0
97	0
192	0
124	0
31	0
239	0
81	0
59	0
311	0
159	0
595	0
96	197
965	0
42	0
155	0
86	0
40	0
37	0
13	0
3	0
13	0
0	22
20	0
43	104
0	104
1	851
77	0
26	0
36	0
87	0
14	0
247	0
245	0
1299	0
277	0
451	0
45	0
33	0
26	0
4	0
22	0
106	0
96	0
334	0
185	0
126	0
633	0
2	1
239	0
61	0
64	0
55	0
1501	0
223	0
108	0
80	0
61	0
54	0
49	0
34	0
14	0
42	0
800	0
66	0
41	0
20	0
29	0
141	0
224	43
45	43
62	0
20	0
31	0
40	0
490	0
129	0
453	0
109	0
0	1256
0	39
39	39
107	0
37	0
92	0
89	0
21	0
12	0
57	0
230	0
56	0
103	21
12	0
130	0
46	0
15	0
1288	0
37	0
116	0
90	0
63	0
78	0
183	0
76	0
79	0
260	0
108	0
529	0
52	0
31	0
26	0
64	0
1011	0
106	0
87	0
230	0
63	0
137	48
50	5
53	1
320	0
111	0
421	0
32	0
22	0
135	0
210	0
499	0
7	0
64	0
130	0
98	0
18	0
64	0
73	0
137	0
242	0
87	0
78	0
24	0
113	0
12	0
134	0
37	0
117	0
46	0
23	0
11	0
4	0
28	0
22	0
19	0
47	0
124	0
35	0
19	0
141	0
7	0
32	0
703	0
1	12
79	0
162	576
38	0
23	0
207	0
5	0
845	0
82	0
10	0
50	0
44	0
27	0
174	0
7	0
72	0
71	0
25	0
2	0
130	0
55	0
34	0
151	0
846	0
64	0
106	0
234	0
51	0
18	0
26	0
28	0
68	0
47	0
14	0
86	686
29	0
274	0
19	0
34	0
337	0
47	0
42	0
274	0
13	0
3	0
64	0
40	0
83	0
4	0
203	0
41	0
39	0
515	0
52	0
110	0
106	0
30	0
112	0
81	0
258	0
69	0
55	0
96	447
44	0
216	0
58	0
51	0
148	0
25	0
9	0
10	40
3	1
0	9
2	36
25	17
0	199
0	960
33	0
74	0
35	0
28	0
222	0
28	0
43	0
42	0
24	0
34	0
10	0
68	0
61	0
23	0
90	0
155	0
246	447
40	0
23	0
51	0
80	0
34	0
71	0
99	0
118	0
5	0
255	0
260	0
316	0
171	0
105	0
180	0
15	0
80	0
52	0
82	0
142	0
37	0
69	0
52	0
427	0
101	0
359	0
98	0
24	0
51	0
172	0
363	180
45	0
57	0
629	0
22	0
2	178
20	0
224	0
178	0
42	0
183	0
18	0
43	0
101	0
59	366
182	0
35	0
14	0
34	0
249	14
1692	0
140	0
151	0
389	0
27	0
80	0
53	0
65	0
222	0
175	0
8	0
55	0
42	0
33	0
68	0
136	0
52	0
35	0
92	0
131	0
43	0
152	0
4	0
44	0
18	0
196	31
34	0
635	0
155	0
137	0
31	0
126	0
513	0
65	0
23	0
418	0
327	0
15	0
72	0
628	0
45	0
77	0
60	0
141	0
73	0
1347	0
484	0
75	0
39	0
214	0
139	1
32	0
8	0
213	3
15	0
90	0
1581	0
163	0
234	0
22	0
42	0
221	0
274	0
173	0
20	0
77	0
92	0
386	204
436	0
32	0
155	0
44	0
68	0
64	0
787	0
55	0
91	0
29	0
41	0
48	0
110	0
101	0
28	0
43	0
27	0
9	25
4	11
0	37
0	16
0	843
71	0
132	0
111	0
129	0
27	0
367	0
39	0
30	0
3	0
106	0
81	0
38	0
1	0
50	0
42	0
142	0
172	0
42	0
26191	0
77	0
99	0
62	0
136	0
25	0
24	0
6	0
21	0
35	0
23	0
45	0
46	0
76	0
132	0
149	0
50	0
319	0
60	0
115	24
1	11
11	0
439	0
422	0
105	0
85	0
536	0
129	430
113	0
65	0
217	0
367	0
23	0
171	0
135	0
49	0
98	0
1436	0
90	0
12	0
37	0
275	0
52	0
106	0
312	0
47	0
92	0
397	0
26	0
174	0
41	0
305	0
26	0
86	0
621	0
9	0
252	0
97	0
